"","action_taken","income","debt_income_ratio","age_above_62","ethnicity","race","sex","loan_amount","loan_type","loan_purpose","property_value","occupancy_type","conforming_loan_limit","preapproval","lien_status","has_co.applicant"
"50","Loan approved",4.40671924726425,"36%-42%","No","Not Hispanic or Latino","Black or African American","Female",5.87211778947542,"Conventional","Home purchase",6.09807428216624,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"51","Loan approved",5.24702407216049,"20%-29%","No","Not Hispanic or Latino","White","Male",6.4377516497364,"Conventional","Home purchase",6.65286302935335,"Principal residence","C","Preapproval not requested","Secured by a first lien","Yes"
"52","Loan approved",3.97029191355212,"36%-42%","No","Hispanic or Latino","Other","Female",4.97673374242057,"Conventional","Home purchase",5.84354441703136,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"53","Loan approved",4.56434819146784,"43%-49%","No","Not Hispanic or Latino","Black or African American","Female",5.95324333428778,"Conventional","Home purchase",6.18414889093748,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"54","Loan approved",4.39444915467244,"36%-42%","No","Not Hispanic or Latino","Black or African American","Female",5.78382518232974,"Conventional","Home purchase",6.05208916892442,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"55","Loan approved",4.91265488573605,"36%-42%","No","Not Hispanic or Latino","White","Male",6.45362499889269,"Conventional","Home purchase",6.55819780281227,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"56","Loan denied",4.56434819146784,"20%-29%","Yes","Not Hispanic or Latino","Black or African American","Female",5.81413053182507,"Conventional","Home purchase",5.87211778947542,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"57","Loan approved",4.58496747867057,"30%-35%","No","Not Hispanic or Latino","Black or African American","Female",5.57972982598622,"Conventional","Home purchase",5.87211778947542,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"58","Loan approved",5.12396397940326,"50%-60%","No","Not Hispanic or Latino","Black or African American","Male",6.07534603108868,"VA","Home purchase",6.07534603108868,"Principal residence","C","Preapproval not requested","Secured by a first lien","Yes"
"59","Loan approved",4.59511985013459,"43%-49%","No","Not Hispanic or Latino","Black or African American","Female",5.72031177660741,"Conventional","Home purchase",6.00388706710654,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"60","Loan approved",4.14313472639153,"36%-42%","No","Not Hispanic or Latino","Black or African American","Female",5.22035582507832,"FHA","Home purchase",6.14203740558736,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"61","Loan approved",4.14313472639153,"43%-49%","No","Not Hispanic or Latino","Other","Female",5.54126354515843,"Conventional","Home purchase",6.0282785202307,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"62","Loan approved",4.23410650459726,"36%-42%","No","Unknwon","Black or African American","Female",5.41610040220442,"Conventional","Home purchase",5.78382518232974,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"63","Loan approved",4.59511985013459,"43%-49%","No","Not Hispanic or Latino","Black or African American","Female",5.78382518232974,"Conventional","Home purchase",6.05208916892442,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"64","Loan approved",4.27666611901606,"36%-42%","No","Not Hispanic or Latino","Black or African American","Female",5.50125821054473,"FHA","Home purchase",6.07534603108868,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"65","Loan denied",4.18965474202643,"20%-29%","Yes","Not Hispanic or Latino","Black or African American","Female",4.44265125649032,"FHA","Home purchase",5.22035582507832,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"66","Loan denied",4.11087386417331,"50%-60%","No","Hispanic or Latino","White","Male",5.41610040220442,"Conventional","Home purchase",5.54126354515843,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"67","Loan approved",4.02535169073515,"43%-49%","No","Not Hispanic or Latino","Black or African American","Female",5.32300997913841,"Conventional","Home purchase",6.0282785202307,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"68","Loan approved",4.51085950651685,"43%-49%","No","Not Hispanic or Latino","Black or African American","Female",6.0282785202307,"FHA","Home purchase",6.20455776256869,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"69","Loan approved",5.19295685089021,"36%-42%","No","Not Hispanic or Latino","White","Male",6.30078579466324,"Conventional","Home purchase",6.38856140554563,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"70","Loan approved",4.89034912822175,"43%-49%","No","Not Hispanic or Latino","Other","Male",6.20455776256869,"Conventional","Home purchase",6.30078579466324,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"71","Loan approved",4.31748811353631,"36%-42%","No","Not Hispanic or Latino","Black or African American","Male",5.22035582507832,"Conventional","Home purchase",5.57972982598622,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"72","Loan approved",5.21493575760899,"30%-35%","No","Not Hispanic or Latino","Black or African American","Male",6.28226674689601,"Conventional","Home purchase",6.33682573114644,"Principal residence","C","Preapproval not requested","Secured by a first lien","Yes"
"73","Loan approved",5.78382518232974,"43%-49%","No","Not Hispanic or Latino","Black or African American","Male",6.66568371778241,"Conventional","Home purchase",6.88243747099785,"Principal residence","C","Preapproval not requested","Secured by a first lien","Yes"
"74","Loan approved",5.31320597904179,"43%-49%","No","Not Hispanic or Latino","White","Female",5.32300997913841,"Conventional","Cash-out",5.84354441703136,"Principal residence","C","Preapproval not requested","Secured by a first lien","Yes"
"75","Loan approved",5.89715386763674,"20%-29%","No","Not Hispanic or Latino","White","Female",6.89264164117209,"Conventional","Home purchase",7.0604763659998,"Principal residence","C","Preapproval not requested","Secured by a first lien","Yes"
"76","Loan approved",6.10031895202006,"<20%","No","Not Hispanic or Latino","White","Female",5.37063802812766,"Conventional","Home purchase",5.72031177660741,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"77","Loan approved",5.30826769740121,"36%-42%","No","Hispanic or Latino","White","Female",6.20455776256869,"Conventional","Home purchase",6.30078579466324,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"78","Loan approved",4.54329478227,"36%-42%","Yes","Unknwon","Other","Male",6.0282785202307,"Conventional","Other purpose",6.72743172485086,"Investment property","C","Preapproval not requested","Secured by a first lien","No"
"79","Loan approved",4.48863636973214,"36%-42%","No","Not Hispanic or Latino","White","Male",5.45958551414416,"Conventional","Home purchase",5.65248918026865,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"80","Loan approved",4.7361984483945,"43%-49%","Yes","Unknwon","Other","Male",6.33682573114644,"Conventional","Home purchase",6.62671774924902,"Investment property","C","Preapproval not requested","Secured by a first lien","No"
"81","Loan approved",6.05208916892442,"43%-49%","Yes","Unknwon","Other","Female",7.16626597413364,"Conventional","Home purchase",7.45298232946546,"Principal residence","NC","Preapproval not requested","Secured by a first lien","No"
"82","Loan approved",5.11799381241676,"30%-35%","No","Hispanic or Latino","White","Female",6.38856140554563,"Conventional","Home purchase",6.55819780281227,"Principal residence","C","Preapproval not requested","Secured by a first lien","Yes"
"83","Loan approved",4.90527477843843,"36%-42%","No","Not Hispanic or Latino","White","Female",6.45362499889269,"Conventional","Home purchase",6.61338421837956,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"84","Loan approved",4.18965474202643,"20%-29%","No","Not Hispanic or Latino","White","Female",4.00733318523247,"Conventional","Home purchase",6.46925031679577,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"85","Loan approved",4.60517018598809,"30%-35%","No","Not Hispanic or Latino","White","Female",5.50125821054473,"FHA","Home purchase",5.72031177660741,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"86","Loan approved",4.969813299576,"43%-49%","No","Not Hispanic or Latino","Black or African American","Female",5.78382518232974,"Conventional","Home purchase",5.84354441703136,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"87","Loan approved",5.30826769740121,"20%-29%","No","Not Hispanic or Latino","White","Female",6.26339826259162,"Conventional","Home purchase",7.11069612297883,"Principal residence","C","Preapproval not requested","Secured by a first lien","Yes"
"88","Loan approved",4.83628190695148,"43%-49%","No","Not Hispanic or Latino","White","Male",6.42162226780652,"Conventional","Home purchase",6.71538338633468,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"89","Loan approved",6.81563999007433,"30%-35%","No","Not Hispanic or Latino","White","Female",7.18159194461187,"Conventional","Home purchase",7.40549566319947,"Principal residence","NC","Preapproval not requested","Secured by a first lien","Yes"
"90","Loan denied",4.70953020131233,"50%-60%","No","Not Hispanic or Latino","White","Female",4.31748811353631,"Conventional","Home improvement",6.26339826259162,"Principal residence","C","Preapproval not requested","Secured by a subordinate lien","No"
"91","Loan denied",5.05624580534831,"43%-49%","No","Unknwon","Other","Unknown",4.44265125649032,"Conventional","Home improvement",5.78382518232974,"Principal residence","C","Preapproval not requested","Secured by a subordinate lien","No"
"92","Loan denied",5.48063892334199,">60%","No","Not Hispanic or Latino","Black or African American","Female",5.75257263882563,"Conventional","Refinancing",6.91274282049318,"Principal residence","C","Preapproval not requested","Secured by a subordinate lien","No"
"93","Loan denied",4.7361984483945,">60%","No","Not Hispanic or Latino","Black or African American","Male",5.04342511691925,"Conventional","Home improvement",6.86171134048073,"Principal residence","C","Preapproval not requested","Secured by a subordinate lien","No"
"94","Loan approved",5.82600010738045,"20%-29%","No","Not Hispanic or Latino","White","Male",5.27299955856375,"Conventional","Refinancing",7.17395831975679,"Principal residence","C","Preapproval not requested","Secured by a subordinate lien","Yes"
"95","Loan approved",5.97635090929793,"43%-49%","No","Unknwon","Other","Unknown",5.65248918026865,"Conventional","Refinancing",6.65286302935335,"Principal residence","C","Preapproval not requested","Secured by a subordinate lien","Yes"
"96","Loan denied",3.43398720448515,">60%","Yes","Unknwon","Other","Unknown",5.54126354515843,"Conventional","Home improvement",7.17395831975679,"Principal residence","C","Preapproval not requested","Secured by a subordinate lien","No"
"97","Loan denied",4.02535169073515,">60%","No","Hispanic or Latino","White","Female",5.32300997913841,"Conventional","Refinancing",6.12029741895095,"Principal residence","C","Preapproval not requested","Secured by a subordinate lien","No"
"98","Loan denied",5.53338948872752,">60%","No","Unknwon","Other","Male",5.54126354515843,"Conventional","Home improvement",7.00760061395185,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"99","Loan denied",5.06890420222023,"43%-49%","No","Unknwon","Other","Unknown",4.31748811353631,"Conventional","Home improvement",6.48463523563525,"Principal residence","C","Preapproval not requested","Secured by a subordinate lien","No"
"100","Loan denied",5.15329159449778,"30%-35%","No","Not Hispanic or Latino","Black or African American","Male",4.74493212836325,"Conventional","Other purpose",6.31896811374643,"Principal residence","C","Preapproval not requested","Secured by a subordinate lien","No"
"101","Loan approved",5.82008293035236,"43%-49%","No","Not Hispanic or Latino","Black or African American","Female",5.68697535633982,"Conventional","Home improvement",7.47022413589997,"Principal residence","C","Preapproval not requested","Secured by a subordinate lien","No"
"102","Loan denied",4.4188406077966,">60%","No","Not Hispanic or Latino","Black or African American","Male",5.32300997913841,"Conventional","Home purchase",7.09423484592476,"Principal residence","C","Preapproval not requested","Secured by a subordinate lien","No"
"103","Loan approved",5.59098698051086,"Unknown","No","Not Hispanic or Latino","White","Male",6.22455842927536,"Conventional","Home improvement",7.14282740116162,"Principal residence","C","Preapproval not requested","Secured by a subordinate lien","Yes"
"104","Loan approved",5.29831736654804,"30%-35%","No","Not Hispanic or Latino","White","Female",4.44265125649032,"Conventional","Refinancing",6.75110146893676,"Principal residence","C","Preapproval not requested","Secured by a subordinate lien","No"
"105","Loan approved",5.65948221575962,"36%-42%","No","Not Hispanic or Latino","White","Male",6.12029741895095,"Conventional","Home improvement",6.97073007814353,"Principal residence","C","Preapproval not requested","Secured by a subordinate lien","Yes"
"106","Loan approved",5.19295685089021,"30%-35%","No","Not Hispanic or Latino","White","Female",4.17438726989564,"Conventional","Home improvement",6.70318811324086,"Principal residence","C","Preapproval not requested","Secured by a subordinate lien","No"
"107","Loan approved",4.87519732320115,"30%-35%","No","Not Hispanic or Latino","White","Male",4.55387689160054,"Conventional","Other purpose",6.71538338633468,"Principal residence","C","Preapproval not requested","Secured by a subordinate lien","No"
"108","Loan approved",5.99893656194668,"Unknown","No","Not Hispanic or Latino","White","Female",5.37063802812766,"Conventional","Home improvement",7.28276117960559,"Principal residence","C","Preapproval not requested","Secured by a subordinate lien","No"
"109","Loan approved",5.12989871492307,"36%-42%","No","Unknwon","Other","Unknown",5.16478597392351,"Conventional","Home improvement",7.05185562295589,"Principal residence","C","Preapproval not requested","Secured by a subordinate lien","Yes"
"110","Loan denied",4.98360662170834,"36%-42%","No","Unknwon","Other","Unknown",4.31748811353631,"Conventional","Home improvement",5.75257263882563,"Principal residence","C","Preapproval not requested","Secured by a subordinate lien","No"
"111","Loan denied",5.11198778835654,">60%","No","Not Hispanic or Latino","White","Male",4.44265125649032,"Conventional","Home improvement",6.91274282049318,"Principal residence","C","Preapproval not requested","Secured by a subordinate lien","No"
"112","Loan denied",4.77912349311153,">60%","No","Unknwon","Other","Unknown",5.04342511691925,"Conventional","Home improvement",7.86518795418747,"Principal residence","C","Preapproval not requested","Secured by a subordinate lien","No"
"113","Loan denied",5.98645200528444,"Unknown","No","Not Hispanic or Latino","White","Female",6.22455842927536,"Conventional","Refinancing",7.28276117960559,"Principal residence","C","Preapproval not requested","Secured by a subordinate lien","No"
"114","Loan approved",5.05624580534831,"43%-49%","No","Not Hispanic or Latino","Asian","Male",5.81413053182507,"Conventional","Home improvement",6.31896811374643,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"115","Loan approved",5.83188247728352,"30%-35%","No","Not Hispanic or Latino","Black or African American","Female",5.78382518232974,"Conventional","Refinancing",7.16626597413364,"Principal residence","C","Preapproval not requested","Secured by a subordinate lien","No"
"116","Loan approved",5.03043792139244,"43%-49%","No","Not Hispanic or Latino","White","Male",5.50125821054473,"Conventional","Refinancing",6.91274282049318,"Principal residence","C","Preapproval not requested","Secured by a subordinate lien","No"
"117","Loan denied",4.30406509320417,">60%","No","Not Hispanic or Latino","Black or African American","Female",4.55387689160054,"Conventional","Home improvement",6.80793494369993,"Principal residence","C","Preapproval not requested","Secured by a subordinate lien","No"
"118","Loan denied",3.3322045101752,">60%","No","Not Hispanic or Latino","Black or African American","Female",4.31748811353631,"Conventional","Home improvement",6.75110146893676,"Principal residence","C","Preapproval not requested","Secured by a subordinate lien","Yes"
"119","Loan approved",5.59842195899838,"30%-35%","No","Not Hispanic or Latino","White","Male",4.31748811353631,"Conventional","Other purpose",7.21890970761906,"Principal residence","C","Preapproval not requested","Secured by a subordinate lien","No"
"120","Loan approved",5.26269018890489,"43%-49%","No","Not Hispanic or Latino","White","Male",5.04342511691925,"Conventional","Home improvement",7.5522372875608,"Principal residence","C","Preapproval not requested","Secured by a subordinate lien","Yes"
"121","Loan denied",1.6094379124341,">60%","No","Unknwon","Other","Unknown",4.90527477843843,"Conventional","Home improvement",7.74283595543075,"Principal residence","C","Preapproval not requested","Secured by a subordinate lien","No"
"122","Loan approved",5.65948221575962,"36%-42%","No","Hispanic or Latino","White","Female",5.72031177660741,"Conventional","Refinancing",7.13489085156588,"Principal residence","C","Preapproval not requested","Secured by a subordinate lien","Yes"
"123","Loan denied",6.18001665365257,"43%-49%","No","Unknwon","Other","Unknown",5.04342511691925,"Conventional","Home improvement",7.97418866928601,"Principal residence","C","Preapproval not requested","Secured by a subordinate lien","No"
"124","Loan approved",5.86078622346587,"43%-49%","No","Not Hispanic or Latino","White","Male",6.58617165485467,"Conventional","Refinancing",7.13489085156588,"Principal residence","NC","Preapproval not requested","Secured by a subordinate lien","Yes"
"125","Loan denied",6.0137151560428,"20%-29%","No","Not Hispanic or Latino","Black or African American","Female",4.65396035015752,"Conventional","Refinancing",7.09423484592476,"Principal residence","C","Preapproval not requested","Secured by a subordinate lien","Yes"
"126","Loan approved",5.79605775076537,"<20%","No","Not Hispanic or Latino","White","Male",5.57972982598622,"Conventional","Home improvement",6.61338421837956,"Principal residence","C","Preapproval not requested","Secured by a subordinate lien","Yes"
"127","Loan denied",5.33271879326537,">60%","No","Not Hispanic or Latino","Asian","Male",5.04342511691925,"Conventional","Home improvement",6.31896811374643,"Principal residence","C","Preapproval not requested","Secured by a subordinate lien","No"
"128","Loan denied",5.11799381241676,"43%-49%","No","Unknwon","Other","Unknown",4.55387689160054,"Conventional","Home improvement",6.00388706710654,"Principal residence","C","Preapproval not requested","Secured by a subordinate lien","No"
"129","Loan approved",5.73334127689775,"20%-29%","No","Not Hispanic or Latino","White","Female",6.78558764500793,"Conventional","Home purchase",6.95177216439891,"Principal residence","C","Preapproval not requested","Secured by a first lien","Yes"
"130","Loan approved",5.15329159449778,"30%-35%","No","Not Hispanic or Latino","White","Female",6.31896811374643,"Conventional","Home purchase",6.54391184556479,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"131","Loan approved",5.71702770140622,"36%-42%","No","Not Hispanic or Latino","Asian","Male",6.90274273715859,"Conventional","Home purchase",7.18916773842032,"Principal residence","C","Preapproval not requested","Secured by a first lien","Yes"
"132","Loan approved",4.76217393479776,"36%-42%","No","Not Hispanic or Latino","Black or African American","Female",6.18414889093748,"Conventional","Home purchase",6.22455842927536,"Principal residence","C","Preapproval not requested","Secured by a first lien","No"
"133","Loan approved",5.76519110278484,"43%-49%","No","Not Hispanic or Latino","Black or African American","Female",6.58617165485467,"Conventional","Home purchase",6.63987583382654,"Principal residence","C","Preapproval not requested","Secured by a first lien","Yes"
